season,driver_id,race_pace_norm,avg_gap_pct,races,tyre_management_norm,avg_deg_advantage,stint_comparisons,quali_h2h_norm,median_gap_pct,win_rate,quali_sessions,launch_norm,avg_lap1_gain,starts,driver
2018,alonso,46.820204015907265,2.26036637162231,14.0,46.21074756347402,-0.01061654514855667,19,64.32739918540706,-0.3703457509947161,1.0,21.0,44.131791238610504,-0.21052631578947367,19.0,Fernando Alonso
2018,bottas,62.173769705908484,0.6238272938040481,16.0,38.95402357382841,-0.030948085249727444,29,43.59035730194992,0.170896892208372,0.2857142857142857,21.0,41.21273499851997,-0.45,20.0,Valtteri Bottas
2018,brendon_hartley,39.76734534010734,3.0121317312998257,14.0,42.89077759126787,-0.019918277269125942,18,40.931512942828356,0.2994345251347008,0.3157894736842105,19.0,49.40676466392673,0.2222222222222222,18.0,Brendon Hartley
2018,ericsson,39.929119962960115,2.9948881477933385,16.0,59.68054950790971,0.02712249781061979,19,32.52567690291886,0.5986626206593515,0.19047619047619047,21.0,52.79272733558241,0.5,20.0,Marcus Ericsson
2018,gasly,44.86952712578552,2.468289340353946,14.0,57.10922240873213,0.019918277269125942,18,59.06846899117197,-0.29854059153210377,0.6842105263157895,19.0,60.24184521322492,1.1111111111111112,18.0,Pierre Gasly
2018,grosjean,46.46947948229884,2.2977501570170977,16.0,66.70312997027726,0.04679802584338666,20,59.2150406054173,-0.3304057762952395,0.631578947368421,19.0,40.282486306622985,-0.5263157894736842,19.0,Romain Grosjean
2018,hamilton,65.46950260228027,0.272534585395858,17.0,61.04597642617159,0.030948085249727444,29,56.42368411213034,-0.17060533299634306,0.7142857142857143,21.0,36.33694875133578,-0.85,20.0,Lewis Hamilton
2018,hulkenberg,46.36723895447276,2.3086479915984874,13.0,42.627213448600614,-0.02065671860209052,24,55.59943791773762,-0.18158807021404488,0.6190476190476191,21.0,56.01935058739548,0.7647058823529411,17.0,Nico Hülkenberg
2018,kevin_magnussen,46.12175329769768,2.33481434790085,16.0,33.29687002972274,-0.04679802584338666,20,40.7802414465431,0.3315010749955105,0.3684210526315789,19.0,50.35483421199032,0.3,20.0,Kevin Magnussen
2018,leclerc,44.86200775254854,2.4690908315769926,15.0,40.31945049209029,-0.02712249781061979,19,67.4120171235111,-0.5950999795263812,0.8095238095238095,21.0,54.82430493857582,0.6666666666666666,18.0,Charles Leclerc
