season,driver,overperformance,races,overperformance_norm
2018,Brendon Hartley,0.08452380952380979,21,50.46251162993105
2018,Carlos Sainz,1.1285714285714288,21,56.175507396825836
2018,Charles Leclerc,-2.3726190476190476,21,37.017103120386196
2018,Daniel Ricciardo,-1.8059523809523812,21,40.117885315416885
2018,Esteban Ocon,-2.3904761904761904,21,36.91938939575287
2018,Fernando Alonso,-3.183333333333333,21,32.58090002203346
2018,Kevin Magnussen,1.8404761904761902,21,60.07102788554086
2018,Kimi Räikkönen,-1.1404761904761906,21,43.75935012008529
2018,Lance Stroll,0.8583333333333334,21,54.69677303070826
2018,Lewis Hamilton,0.532142857142857,21,52.91186899407294
2018,Marcus Ericsson,2.372619047619047,21,62.982896879613804
2018,Max Verstappen,1.8059523809523805,21,59.88211468458311
2018,Nico Hulkenberg,-1.1285714285714286,21,43.824492603174164
2018,Pierre Gasly,-0.08452380952380938,21,49.53748837006895
2018,Romain Grosjean,-1.8404761904761904,21,39.928972114459135
2018,Sebastian Vettel,1.14047619047619,21,56.24064987991471
2018,Sergey Sirotkin,-0.8583333333333333,21,45.30322696929174
2018,Sergio Perez,2.3904761904761904,21,63.08061060424713
2018,Stoffel Vandoorne,3.183333333333333,21,67.41909997796654
2018,Valtteri Bottas,-0.532142857142857,21,47.08813100592706
2019,Alexander Albon,1.9413265306122454,21,64.99201296292594
2019,Antonio Giovinazzi,-1.047619047619048,21,41.909697779095595
2019,Carlos Sainz,2.664285714285714,21,70.57510951180006
2019,Charles Leclerc,-0.444047619047619,21,46.57081508136665
2019,Daniel Ricciardo,-1.1571428571428573,21,41.06389345600105
2019,Daniil Kvyat,0.44404761904761936,21,53.42918491863335
2019,George Russell,0.0023809523809523937,21,50.01838705050206
2019,Kevin Magnussen,1.6535714285714287,21,62.76980657367751
2019,Kimi Räikkönen,1.047619047619047,21,58.0903022209044
2019,Lance Stroll,-0.10595238095238085,21,49.18177625265853
2019,Lando Norris,-2.664285714285714,21,29.424890488199942
2019,Lewis Hamilton,0.20595238095238097,21,51.5904798684278
2019,Max Verstappen,-1.1297619047619047,21,41.27534453677468
2019,Nico Hulkenberg,1.1571428571428573,21,58.93610654399895
2019,Pierre Gasly,-1.255612244897959,21,40.30345758166604
2019,Robert Kubica,-0.00238095238095233,21,49.98161294949794
2019,Romain Grosjean,-1.6535714285714282,21,37.23019342632249
2019,Sebastian Vettel,0.4440476190476194,21,53.42918491863335
2019,Sergio Perez,0.10595238095238127,21,50.81822374734147
2019,Valtteri Bottas,-0.20595238095238075,21,48.4095201315722
2020,Alexander Albon,2.2867647058823533,17,60.41516617979505
2020,Antonio Giovinazzi,-1.5029411764705876,17,40.957691745802904
2020,Carlos Sainz,-1.0382352941176471,17,43.34362962750315
2020,Charles Leclerc,-1.9485294117647054,17,38.669909536451094
2020,Daniel Ricciardo,0.8250000000000002,17,52.91003246330759
2020,Daniil Kvyat,0.3985294117647057,17,50.7204059263042
2020,Esteban Ocon,-0.825,17,44.43844289600484
2020,George Russell,-3.0521626297577855,17,33.00352913906992
2020,Jack Aitken,1.022058823529412,1,53.921790932129845
2020,Kevin Magnussen,-1.0764705882352938,17,43.147318282806296
2020,Kimi Räikkönen,1.5029411764705887,17,56.39078361350953
2020,Lance Stroll,-3.0082720588235294,16,33.22887635290604
2020,Lando Norris,1.038235294117647,17,54.00484573180928
